sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.2721567451953888,0.15357686579227448,8.225553590477405,2912,56,119
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.21725669503211975,0.1251242309808731,4.7595351802250105,2912,56,119
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.2322438359260559,0.10782726109027863,0.9202865658660325,2912,56,119
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.2171466052532196,0.1087077185511589,7.430022297043939,2912,56,119
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.2354533076286316,0.059591300785541534,3.513479027403024,2912,56,119
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|composite,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,composite,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_composite.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.26416096091270447,0.14877033233642578,1.829244907203861,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.25737956166267395,0.23048198223114014,7.857816415989946,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.32587459683418274,0.20448580384254456,4.232215845176806,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|composite,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,composite,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_composite.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.22316701710224152,0.18373289704322815,0.6764588053867291,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.27518588304519653,0.31030744314193726,8.048323106073672,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.26106908917427063,0.1825663447380066,2.7009315764233754,2883,77,117
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|composite,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,composite,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_composite.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.16334600746631622,-0.07167123258113861,-0.6797228938410178,1275,67,107
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.19865421950817108,0.3754079341888428,8.793583218706955,1275,67,107
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.19947737455368042,-0.05747741460800171,0.5944796345129398,1275,67,107
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|composite,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,composite,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_composite.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.16357803344726562,-0.05629250034689903,-0.768309840420113,1275,67,107
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|diffusion,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,diffusion,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.17586518824100494,0.3499588370323181,8.548481739977555,1275,67,107
aged-hand_choose_rotate|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|hist,aged-hand_choose_rotate,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,hist,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_hist.png,./his2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose_rotate/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.15825510025024414,-0.1024600937962532,-0.36849036644730093,1275,67,107
