sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.13489501178264618,0.12014254182577133,8.048307003305649,1908,54,99
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.22496813535690308,0.1377050131559372,5.043922843337546,1908,54,99
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.19506047666072845,0.11388158053159714,1.0729228240182938,1908,54,99
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.20585840940475464,0.12496742606163025,7.017817540893389,1908,54,99
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_golden-ring-test_silver|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_golden-ring-test_silver,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_golden-ring-test_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.22157646715641022,0.05574878677725792,3.3102852523929895,1908,54,99
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|composite,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,composite,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_composite.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.19729651510715485,0.1324065774679184,2.6233545257413566,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.17370370030403137,0.34868770837783813,10.732668036741842,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_gold|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_gold,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.20094943046569824,0.38453879952430725,8.325847678061631,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|composite,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,composite,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_composite.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.1499451994895935,0.20339258015155792,1.1949855341786377,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.13354766368865967,0.39190673828125,9.795628288927563,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_riccardoferrari-ring_silver|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_riccardoferrari-ring_silver,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_riccardoferrari-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.19785547256469727,0.27766257524490356,4.379858955929038,2021,71,97
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|composite,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,composite,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_composite.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.14837907254695892,-0.11071328073740005,-0.6138526852010001,876,57,92
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.23697644472122192,0.4256409704685211,9.371479943322766,876,57,92
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_gold|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_gold,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_gold/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.2208002358675003,-0.03321564197540283,0.6536737662454055,876,57,92
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|composite,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,composite,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_composite.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.14663325250148773,-0.07768069207668304,-1.132725312797627,876,57,92
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|diffusion,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,diffusion,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_restored.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.21427415311336517,0.35426950454711914,8.3037745916377,876,57,92
aged-hand_choose|industrial_pipe_and_valve_01_4k|aged-hand_silver-moon-ring_silver|hist,aged-hand_choose,industrial_pipe_and_valve_01_4k,aged-hand_silver-moon-ring_silver,hist,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_hist.png,./his2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver_gt.png,./restore2/aged-hand_choose/industrial_pipe_and_valve_01_4k/aged-hand_silver-moon-ring_silver/industrial_pipe_and_valve_01_4k_059_mask_restored.png,0.18847167491912842,-0.0823654904961586,-0.7093603290180013,876,57,92
